net,length_um
net127,253.3
net119,234.94
net126,192.78
net66,189.04
net122,179.08
net69,175.94
net159,146.14
net125,141.1
net121,124.76
net109,114.82
net120,112.1
net123,112.01
net107,107.88
net160,102.98
net124,101.56
net117,100.96
net113,99.72
net115,95.475
net111,94.14
net63,85.315
net1,76.285
net110,65.54
net112,58.72
net49,56.945
net64,54.205
net31,53.775
net116,53.1
net114,52.74
net15,52.315
net105,51.4
net41,50.935
net16,50.545
net73,49.9
_0032_,47.505
net106,47.06
net108,46.5
net48,46.46
net50,45.925
net102,44.74
net104,44.62
net30,44.245
net8,44.125
net71,43.88
net78,43.68
_0037_,43.56
net89,42.84
net118,42.335
net101,41.98
net40,41.205
net7,40.835
net79,40.52
net67,39.86
net87,39.48
net62,38.715
net17,37.595
net88,36.48
net95,35.18
net97,34.12
net85,33.56
net29,33.545
net72,32.96
net34,32.255
net6,31.005
_0034_,30.68
net86,30.42
net91,30.12
net90,29.96
net74,29.62
net84,29.54
net96,28.74
net100,28.68
net19,27.965
net68,27
net98,26.98
_0656_,26.94
_0039_,26.88
net82,26.8
net3,26.265
net70,25.82
net58,25.425
net93,25.18
net103,25.04
net24,24.205
net77,24.04
_0058_,23.92
net94,23.8
net76,23.58
net28,23.225
net92,23.22
net80,23.2
_1273_,22.72
net75,22.3
_0067_,22.24
_0033_,21.94
net83,21.54
net39,21.065
_0246_,21.04
_1191_,20.96
net18,20.905
_1318_,20.9
net10,20.665
_0574_,20.52
_0576_,20.26
_0781_,20.22
net65,20.065
_0030_,19.98
_0738_,19.76
net59,19.755
_0287_,19.58
net99,19.54
net81,19.52
net32,19.505
_0207_,19.44
_0289_,19.42
_0330_,19.4
_0699_,19.38
_0328_,19.1
_0861_,19.08
_1107_,19.08
_1074_,18.82
net22,18.805
_0082_,18.74
_0053_,18.66
net33,18.6
_1027_,18.56
_0063_,18.3
_0658_,18.3
net25,18.185
_0779_,18.06
_0703_,17.98
_0990_,17.9
net51,17.815
_1271_,17.78
_0038_,17.68
_1013_,17.62
_1277_,17.54
_0820_,17.52
_0248_,17.26
_1232_,17.24
_1189_,17.16
_0492_,17.14
_0123_,17.015
_0662_,16.98
_0697_,16.84
_0060_,16.76
_1314_,16.7
_1025_,16.68
net13,16.64
net26,16.565
_0453_,16.56
_0164_,16.34
net23,16.235
_0055_,16.2
_1355_,16.02
_0084_,15.94
_0863_,15.9
_0945_,15.8
_0072_,15.68
_0494_,15.68
_1195_,15.48
_1353_,15.34
_0451_,15.3
_0051_,15.28
_0068_,15.22
_0205_,15.22
_0125_,15.16
_0108_,14.94
net44,14.925
_1259_,14.76
_0822_,14.62
_0740_,14.4
_0904_,14.4
_0943_,14.32
net20,14.095
_1066_,14.08
_0984_,13.96
_0535_,13.94
_0902_,13.94
_0234_,13.88
_0539_,13.84
_0521_,13.74
net47,13.675
_1230_,13.6
_0615_,13.48
_0166_,13.46
net61,13.275
net11,13.255
_0533_,13.14
_1150_,13.14
_1154_,13.12
_0500_,13.1
_0069_,13.08
_1109_,13.06
_0621_,12.96
_0949_,12.96
_1113_,12.96
_0046_,12.84
_0785_,12.84
_1361_,12.84
_0931_,12.76
_0826_,12.74
result[19],12.74
_1068_,12.68
_0035_,12.66
_0066_,12.64
_0070_,12.6
_1029_,12.54
_1054_,12.48
_0105_,12.38
_0580_,12.3
_0416_,12.16
net27,12.155
_1095_,12.14
net37,12.095
b[17],12.04
b[18],12.04
_1312_,12
b[1],11.92
_0316_,11.9
_1156_,11.88
net43,11.875
_0054_,11.86
_0617_,11.86
_0972_,11.86
_0371_,11.84
_0073_,11.82
_0783_,11.7
_0293_,11.66
_0744_,11.66
_0480_,11.58
a[14],11.58
net38,11.535
_0087_,11.48
result[20],11.48
_0906_,11.42
_0908_,11.4
_0170_,11.24
_1033_,11.18
_0334_,11.16
_0410_,11.04
_0791_,11.04
_1031_,11
net55,10.985
_0056_,10.875
net9,10.825
_0059_,10.72
net12,10.7
_0375_,10.68
a[13],10.66
a[18],10.66
b[12],10.66
b[16],10.66
net52,10.64
_0661_,10.6
_1148_,10.6
b[30],10.56
result[18],10.56
net4,10.535
_0787_,10.5
_0828_,10.5
_0890_,10.46
_1151_,10.42
_0369_,10.38
_0065_,10.36
_0696_,10.34
result[4],10.34
net14,10.305
_0178_,10.26
_0457_,10.2
_0459_,10.2
a[17],10.2
_0169_,10.16
net2,10.085
net5,10.075
_0331_,9.98
_0064_,9.94
_0986_,9.82
zero,9.76
a[12],9.74
a[15],9.74
a[16],9.74
b[13],9.74
b[14],9.74
b[15],9.74
b[19],9.74
a[29],9.64
a[30],9.64
a[7],9.64
b[0],9.64
b[28],9.64
b[29],9.64
b[31],9.64
result[13],9.64
result[14],9.64
result[16],9.64
_1193_,9.6
net46,9.575
net35,9.565
_0412_,9.56
_0074_,9.44
_0357_,9.4
_1320_,9.38
net54,9.375
_0333_,9.36
_1218_,9.28
_1317_,9.22
_0603_,9.2
_0824_,9.2
_0275_,9.18
_0705_,9.12
_1112_,9.12
a[6],9.05
_0043_,9.04
_0172_,8.96
_1188_,8.96
cout,8.96
overflow,8.96
result[1],8.96
result[24],8.96
result[29],8.96
result[2],8.96
result[30],8.96
_0867_,8.9
_1106_,8.9
_0088_,8.86
_0252_,8.82
_0538_,8.78
_0582_,8.78
_0047_,8.76
a[0],8.72
a[1],8.72
a[2],8.72
a[31],8.72
a[3],8.72
b[2],8.72
b[7],8.72
cin,8.72
_0987_,8.62
result[17],8.6
result[7],8.5
_0127_,8.48
_0737_,8.48
b[5],8.47
_0168_,8.44
_0685_,8.44
_0052_,8.42
_0562_,8.34
_0254_,8.32
result[23],8.26
net57,8.225
_0422_,8.16
_0167_,8.14
_0040_,8.1
net21,8.04
_0866_,8.02
_1236_,8.02
net146,7.96
_0726_,7.94
_1242_,7.94
_1104_,7.93
_0049_,7.9
_0498_,7.9
_0448_,7.89
_0250_,7.82
_0062_,7.8
_0213_,7.78
_0644_,7.7
b[4],7.69
_0579_,7.66
_0541_,7.64
_1194_,7.6
_0044_,7.56
_0061_,7.56
_0415_,7.56
_1063_,7.47
_0204_,7.46
_0090_,7.44
_1187_,7.37
_0209_,7.36
_0623_,7.32
_1065_,7.32
_0910_,7.28
net36,7.235
net136,7.22
net53,7.175
result[21],7.13
_0381_,7.1
_0048_,7.06
_1153_,6.94
_1030_,6.9
_1300_,6.88
_0992_,6.82
_1352_,6.78
_0996_,6.7
_1324_,6.7
_0942_,6.64
_0295_,6.6
_0767_,6.6
_0808_,6.6
_1197_,6.6
_1357_,6.6
net45,6.555
_0614_,6.48
_0332_,6.44
_0398_,6.44
_0849_,6.42
_0907_,6.38
_0951_,6.36
_0372_,6.32
a[9],6.31
net166,6.3
_0746_,6.28
net165,6.26
_1111_,6.18
_0377_,6.16
result[28],6.11
select[1],6.09
_0860_,6.08
_1147_,6.06
_1078_,6.04
_1233_,5.98
a[10],5.97
select[0],5.97
_1136_,5.96
_1177_,5.96
_0245_,5.94
_0988_,5.92
a[23],5.85
b[27],5.85
net56,5.825
_0211_,5.8
_0176_,5.78
result[22],5.77
result[25],5.77
result[10],5.75
result[11],5.75
result[5],5.75
_0045_,5.74
_0251_,5.72
_0664_,5.7
b[3],5.63
_0418_,5.62
net152,5.56
_1279_,5.52
a[19],5.51
a[28],5.51
b[21],5.51
ainv,5.41
result[12],5.41
_0193_,5.4
net42,5.385
_0782_,5.38
_1238_,5.36
_0284_,5.35
_0071_,5.34
b[11],5.29
b[9],5.29
result[26],5.29
_0659_,5.28
_0914_,5.28
_1119_,5.26
net167,5.26
_0948_,5.22
_0777_,5.17
a[21],5.17
a[26],5.17
b[26],5.17
_0901_,5.16
_0817_,5.15
_1310_,5.15
_0869_,5.14
_1382_,5.12
binv,5.07
result[15],5.07
result[6],5.07
result[9],5.07
_0700_,5.06
_1115_,5.02
_0080_,4.99
a[8],4.95
b[8],4.95
_0439_,4.94
_0489_,4.93
_0131_,4.9
_0152_,4.88
_0865_,4.88
_1110_,4.88
b[20],4.83
b[25],4.83
_0578_,4.8
_0655_,4.8
_1152_,4.8
_1201_,4.8
net161,4.8
result[0],4.73
_1341_,4.68
_0905_,4.66
a[11],4.61
a[4],4.61
a[5],4.61
b[10],4.61
b[6],4.61
result[27],4.61
_0454_,4.6
_1276_,4.58
a[22],4.49
b[23],4.49
_0981_,4.47
_0057_,4.46
_0094_,4.46
_0210_,4.46
_0761_,4.46
_0946_,4.46
result[3],4.39
result[8],4.39
_0217_,4.36
_0291_,4.34
_0778_,4.34
_0873_,4.34
_1311_,4.34
_0050_,4.32
result[31],4.27
_1007_,4.24
_0367_,4.23
_0571_,4.23
_0899_,4.23
_1186_,4.23
_1351_,4.23
_1160_,4.22
_1274_,4.2
a[27],4.15
b[22],4.15
b[24],4.15
_0081_,4.14
_0413_,4.14
_0450_,4.14
_0491_,4.14
_1358_,4.14
_0336_,4.1
_0653_,4.01
_0743_,4
_0864_,4
_1315_,4
net163,4
net60,3.885
_0258_,3.88
_0955_,3.88
a[24],3.81
_0818_,3.77
net153,3.68
net128,3.68
_1335_,3.66
_1071_,3.64
_0989_,3.56
_0408_,3.55
_0449_,3.55
_0858_,3.55
_0085_,3.54
_1069_,3.54
net148,3.54
a[20],3.47
a[25],3.47
_0285_,3.45
_0326_,3.45
_0982_,3.45
_0041_,3.44
net129,3.44
net162,3.44
net164,3.44
_1269_,3.43
_0504_,3.42
_0586_,3.42
_0832_,3.42
_0208_,3.32
_0433_,3.32
_0495_,3.32
_1089_,3.3
_0702_,3.22
net140,3.22
_0126_,3.2
_1105_,3.19
_0327_,3.18
_0474_,3.1
_0802_,3.1
_1253_,3.1
_1376_,3.1
_0325_,3.09
_0111_,3.08
_0161_,2.99
_0340_,2.96
_0455_,2.96
_0463_,2.96
_0709_,2.96
_1283_,2.96
_1365_,2.96
_0079_,2.87
_0496_,2.84
_0290_,2.76
_0497_,2.76
_0701_,2.76
_1356_,2.76
net155,2.76
_0573_,2.74
_0660_,2.74
_1070_,2.74
_1146_,2.63
_0187_,2.62
_0392_,2.62
_1212_,2.62
_0366_,2.53
_0036_,2.52
net168,2.52
_0146_,2.5
_0299_,2.5
_0537_,2.5
_0750_,2.5
_0819_,2.5
_1234_,2.5
_1270_,2.5
_0536_,2.4
_1130_,2.4
_0202_,2.39
_0244_,2.39
_0859_,2.39
_1023_,2.39
_1350_,2.39
net150,2.38
_0286_,2.3
_0292_,2.3
_0368_,2.3
_0409_,2.3
_0619_,2.28
_0121_,2.17
_0572_,2.17
_1235_,2.16
net134,2.16
net135,2.16
net137,2.16
net138,2.16
net141,2.16
net145,2.16
net151,2.16
net169,2.16
_0120_,2.07
_0243_,2.07
_0490_,2.07
_0530_,2.07
_0531_,2.07
_0612_,2.07
_0613_,2.07
_0694_,2.07
_0695_,2.07
_0776_,2.07
_0900_,2.07
_0940_,2.07
_1022_,2.07
_1227_,2.07
_1228_,2.07
_1309_,2.07
_0128_,2.04
_0545_,2.04
_0627_,2.04
_0668_,2.04
_0983_,2.04
_1037_,2.04
_0122_,1.94
_0163_,1.94
_0249_,1.94
_0823_,1.94
_1171_,1.94
_1229_,1.94
_1294_,1.94
_0203_,1.93
_0654_,1.93
_0735_,1.93
_0941_,1.93
_0228_,1.84
_0597_,1.84
_0618_,1.84
_0638_,1.84
_0679_,1.84
_0741_,1.84
_0843_,1.84
_0884_,1.84
_0925_,1.84
_0966_,1.84
net130,1.84
net132,1.84
net139,1.84
net147,1.84
net149,1.84
net154,1.84
net157,1.84
net158,1.84
_0373_,1.82
_0620_,1.82
_0162_,1.71
_0407_,1.71
_1064_,1.71
_1145_,1.71
_0351_,1.7
_0456_,1.7
_0720_,1.7
_1028_,1.7
_1048_,1.7
net131,1.7
net133,1.7
net142,1.7
net143,1.7
net144,1.7
net156,1.7
_0269_,1.48
_0310_,1.48
_0515_,1.48
_0532_,1.48
_0577_,1.48
_1024_,1.48
_1192_,1.48
_0374_,1.38
_0784_,1.38
_0825_,1.38
_0086_,1.36
_0736_,1.25
_1268_,1.25
_0556_,1.02
_0742_,0.92
_1275_,0.92
_0414_,0.46
_0947_,0.46
_1316_,0.46
